日文,假名,中文,类型,
換算します,かんさんします,换算,动3,
復習します,ふくしゅうします,复习,动3,
成功します,せいこうします,成功,动3,
弱い,よわい,弱，脆弱，柔弱,形容词,
厳しい,きびしい,严厉，严格,形容词,
ぜいたく,ぜいたく,奢望，奢侈，过分,形容动词,
こっそり,こっそり,偷偷地，悄悄地,副词,
さすが,さすが,不愧是，果然,副词,
実際に,じっさいに,实地，实际上,副词,
東大,とうだい,东大，东京大学,专有词,
八達嶺,はったつれい,八达岭,专有词,
北京北駅,ペキンきたえき,北京北站,专有词,
,,,,
新标初_38,,,,
商品,しょうひん,商品,名词,
ごみ箱,ごみばこ,垃圾箱,名词,
コップ,コップ,杯子，杯,名词,
ペットボトル,ペットボトル,塑料瓶,名词,
エンジン,エンジン,发动机，引擎,名词,
タイヤ,タイヤ,轮胎,名词,
胡同,フートン,胡同,名词,
路地,ろじ,小巷，弄堂,名词,
油条,ヨウテイアオ,油条,名词,
日本食,にほんしょく,日本食品,名词,
刺身,さしみ,生鲜鱼，贝片,名词,
棚,たな,橱柜，搁板,名词,
畳,たたみ,草席，草垫,名词,
着物,きもの,和服，衣服,名词,
具合,ぐあい,情况,名词,
平仮名,ひらがな,平假名,名词,
赤ちゃん,あかちゃん,婴儿，幼儿,名词,
半分,はんぶん,一半,名词,
最終,さいしゅう,最终,名词,
試合,しあい,比赛，竞赛,名词,
英字新聞,えいじしんぶん,英文报纸,名词,
衛星放送,えいせいほうそう,卫星广播,名词,
ストレス,ストレス,精神紧张状态,名词,
伝統的,でんとうてき,传统的,名词,
入り組みます,いりくみます,错综复杂,动1,
減ります,へります,减少,动1,
動かします,うごかします,开动，移动，摇动,动1,
勝ちます,かちます,取胜，获胜,动1,
通り抜けます,とおりぬけます,走得出去，穿过，通过,动2,
感じます,かんじます,感觉，觉得,动2,
取り替えます,とりかえます,更换，交换,动2,
徹夜します,てつやします,熬通宵，彻夜,动3,
火傷します,やけどします,烫伤，烧伤,动3,
なんだか,なんだか,总觉得，总有点,副词,
上野動物園,うえのどうぶつえん,上野动物园,专有词,
この辺,このへん,这一带，这附近，这儿,惯用语,
急いで,いそいで,急急忙忙地，匆忙地,惯用语,
,,,,
新标初_39,,,,
村,むら,村子，村庄,名词,
稲,いね,稻子,名词,
霧,きり,雾,名词,
門,もん,城门，门，大门,名词,
舞台,ぶたい,舞台,名词,
屋根,やね,屋顶，房顶,名词,
瑠璃瓦,るりがわら,琉璃瓦,名词,
黄色,きいろ,黄色，黄颜色,名词,
空,そら,天空,名词,
バック,バック,背景,名词,
貸し切り,かしきり,包租,名词,
一般,いっぱん,一般,名词,
祖母,そぼ,祖母，外婆,名词,
音楽会,おんがくかい,音乐会,名词,
ジャズ,ジャズ,爵士乐,名词,
野外コンサート,やがいコンサート,露天音乐会,名词,
円高,えんだか,日元升值,名词,
輸出,ゆしゅつ,出口，输出,名词,
影響,えいきょう,影响,名词,
資源,しげん,资源,名词,
気温,きおん,气温,名词,
沖,おき,海上，湖心,名词,
海外,かいがい,海外,名词,
クジラ,クジラ,鲸,名词,
サメ,サメ,鲨鱼,名词,
UFO,ユーフォー,不明飞行物,名词,
昔,むかし,以前,名词,
別名,べつめい,别名,名词,
方,ほう,方，方面,名词,
道路工事,どうろこうじ,道路施工,名词,
通勤ラッシュ,つうきんラッシュ,上下班高峰,名词,
通行禁止,つうこうきんし,禁止通行,名词,
遠く,とおく,远处，远方,名词,
見渡します,みわたします,眺望，远眺,动1,
続きます,つづきます,继续，持续,动1,
なくなります,なくなります,完，丢失,动1,
育ちます,そだちます,生长，成长,动1,
増えます,ふえます,增加，增多,动2,
連れます,つれます,带，领,动2,
欠席します,けっせきします,缺席,动3,
輸入します,ゆにゅうします,进口，输入,动3,
せっかく,せっかく,好（不）容易，特意,副词,
絶対,ぜったい,绝对，一定,副词,
そうそう,そうそう,是的是的,感叹词,
紫禁城,しきんじょう,紫禁城,专有词,
,,,,
新标初_40,,,,
モノレール,モノレール,单轨铁路，单轨电车,名词,
オイル,オイル,油，润滑油,名词,
ダンス,ダンス,跳舞，舞,名词,
時代,じだい,时代,名词,
役者,やくしゃ,演员,名词,
娘,むすめ,女儿,名词,
子犬,こいぬ,小狗,名词,
劇場,げきじょう,剧场，剧院,名词,
試写会,ししゃかい,试映会，预映会,名词,
耳,みみ,耳朵,名词,
奥,おく,里头，内部；深处,名词,
機嫌,きげん,情绪，心情,名词,
先日,せんじつ,前几天，前些天,名词,
コピー機,コピーき,复印机,名词,
券,けん,券，票,名词,
最終便,さいしゅうびん,最晚航班,名词,
入場券,にゅうじょうけん,入场卷，门票,名词,
招待券,しょうたいけん,招待券，请帖,名词,
回数券,かいすうけん,回数券,名词,
向かいます,むかいます,往～去,动1,
そろえます,そろえます,备齐，凑齐；使一致,动2,
漏れます,もれます,漏，泄漏,动2,
まとめます,まとめます,汇集；总结，整理,动2,
開通します,かいつうします,开通,动3,
改築します,かいちくします,改建,动3,
完成します,かんせいします,完成,动3,
入社します,にゅうしゃします,入社,动3,
清,しん,清，清代,专有词,
お待たせしました,おまたせしました,让您久等了,惯用语,
,,,,
新标初_41,,,,
小鳥,ことり,小鸟，鸟儿,名词,
万博,ばんぱく,世博会，万国博览会,名词,
遺跡,いせき,遗址，遗迹,名词,
上司,じょうし,上司,名词,
すり,すり,扒手，小偷,名词,
世代,せだい,世代；一代,名词,
市場,しじょう,市场,名词,
調査,ちょうさ,调查,名词,
出荷,しゅっか,上市，运出货物,名词,
成長,せいちょう,成长,名词,
嵐,あらし,暴风雨，风暴,名词,
ダイナマイト,ダイナマイト,炸药,名词,
ネーミング,ネーミング,名称，命名，取名,名词,
コストダウン,コストダウン,降低成本,名词,
低価格,ていかかく,低价（格）,名词,
牛肉,ぎゅうにく,牛肉,名词,
一昨年/おととし,いっさくねん/おととし,前年,名词,
昨年,さくねん,去年,名词,
今後,こんご,今后,名词,
すべて,すべて,全部，所有,名词,
びしょぬれ,びしょぬれ,落汤鸡，湿透，濡湿,名词,
魅力,みりょく,吸引力，魅力,名词,
汚職事件,おしょくじけん,贪污事件,名词,
市場調査,しじょうちょうさ,市场调查,名词,
交通事情,こうつうじじょう,交通状况,名词,
合弁会社,ごうべんがいしゃ,合资公司,名词,
しかります,しかります,训，责备，斥责,动1,
かみます,かみます,咬，嚼,动1,
誘います,さそいます,邀请，约请,动1,
巻き込みます,まきこみます,卷入，卷进,动1,
至ります,いたります,到达，达到,动1,
見つかります,みつかります,找到，发现,动1,
踏みます,ふみます,踩，踏,动1,
図ります,はかります,谋求；考虑,动1,
見込みます,みこみます,预料，估计,动1,
盗みます,ぬすみます,盗取，偷盗,动1,
起こします,おこします,叫醒，唤醒,动1,
ほめます,ほめます,表扬，赞扬,动2,
求めます,もとめます,要求；追求；寻求,动2,
いじめます,いじめます,欺负，折磨，欺侮,动2,
ぶつけます,ぶつけます,碰上，撞上；扔，投，掷,动2,
発見します,はっけんします,发现,动3,
辞職します,じしょくします,辞职,动3,
創立します,そうりつします,成立，创立,动3,
依頼します,いらいします,委托，请求,动3,
発売します,はつばいします,上市，发售，出售,动3,
開発します,かいはつします,开发,动3,
製造します,せいぞうします,生产，制造,动3,
管理します,かんりします,管理,动3,
実現します,じつげんします,实现,动3,
洗練します,せんれんします,精炼，洗练,动3,
放送します,ほうそうします,广播，播送,动3,
生産します,せいさんします,生产,动3,
翻訳します,ほんやくします,翻译，笔译,动3,
発明します,はつめいします,发明,动3,
幅広い,はばひろい,广泛，宽广，辽阔,形容词,
大幅,おおはば,大幅（度），广泛,形容动词,
大量,たいりょう,大量,形容动词,
最も,もっとも,最,副词,
いやあ,いやあ,哎呀,感叹词,
ニュートン,ニュートン,牛顿,专有词,
ノーベル,ノーベル,诺贝尔,专有词,
オーストラリア,オーストラリア,澳大利亚,专有词,
CS公司,シーエスコンス,CS公司,专有词,
青岛ビール,チンタオビール,青岛啤酒,专有词,
阿Q正伝,あキューせいでん,阿Q正传,专有词,
参りました,まいりました,真糟糕，真倒霉,惯用语,
万有引力の法則,ばんゆういんりょくのほうそく,万有引力定律,惯用语,
,,,,
新标初_42,,,,
責任者,せきにんしゃ,负责人,名词,
同僚,どうりょう,同事,名词,
観客,かんきゃく,观众,名词,
空腹,くうふく,空肚子，空腹，饿,名词,
換気,かんき,换气,名词,
留守,るす,不在家,名词,
講堂,こうどう,讲堂,名词,
昼間,ひるま,白天，白日,名词,
日程,にってい,日程,名词,
次回,じかい,下次，下回,名词,
目覚まし,めざまし,闹钟；叫醒,名词,
アラーム,アラーム,闹钟，闹铃,名词,
企画案,きかくあん,策划方案,名词,
お返事,おへんじ,回信,名词,
行き先,いきさき,去的地方，目的地,名词,
預かります,あずかります,保管，收存,动1,
気づきます,きづきます,发觉，发现,动1,
冷やします,ひやします,冰镇，冷却,动1,
思い出します,おもいだします,想起，想出,动1,
告げます,つげます,说，告诉,动2,
冷えます,ひえます,变冷；感觉凉,动2,
信じます,しんじます,相信，信任,动2,
折れます,おれます,折，断；拐弯,动2,
出勤します,しゅっきんします,上班，出勤,动3,
セットします,セットします,设定，设置,动3,
検討します,けんとうします,讨论,动3,
正しい,ただしい,正确的,形容词,
当然,とうぜん,当然，应当,形容动词,
確か,たしか,确实，确切；大概,形容动词,
丈夫,じょうぶ,牢固，结实,形容动词,
早速,さっそく,马上，立即,副词,
直接,ちょくせつ,直接,副词,
きっと,きっと,一定,副词,
だって,だって,可是，但是,接续词,
西長安街,にしちょうあんがい,西长安街,专有词,
留守にします,るすにします,不在家，无人在家,惯用语,
,,,,
新标初_43,,,,
お手伝い,おてつだい,帮忙，帮助,名词,
乗り換え,のりかえ,换车，换乘,名词,
考え,かんがえ,想法，思想,名词,
女性向け,じょせいむけ,女性专用，专为女性,名词,
申し出,もうしで,申请，提议,名词,
感じ,かんじ,感觉,名词,
多く,おおく,多，多数,名词,
部下,ぶか,部下,名词,
監督,かんとく,教练，领队,名词,
選手,せんしゅ,运动员，选手,名词,
消費者,しょうひしゃ,消费者,名词,
案内役,あんないやく,向导，导游,名词,
親,おや,双亲，父母,名词,
アルファベット,アルファベット,英语字母，拉丁字母,名词,
プレゼンテーション/プレゼン,プレゼンテーション/プレゼン,策划方案说明（会）,名词,
イメージ,イメージ,形象，印象,名词,
インパクト,インパクト,冲击力，力量感,名词,
ガラス,ガラス,玻璃，玻璃杯,名词,
気分,きぶん,情绪；（身体）舒适（与否）,名词,
親近感,しんきんかん,亲切感,名词,
品質,ひんしつ,质量，品质,名词,
物価,ぶっか,物价,名词,
免税店,めんぜいてん,免税店,名词,
説明書,せつめいしょ,说明书,名词,
塾,じゅく,私塾，补习学校,名词,
例文,れいぶん,例句,名词,
会場,かいじょう,会场,名词,
設備,せつび,设备,名词,
洗濯物,せんたくもの,洗的衣服,名词,
もの,もの,东西，事物,名词,
字,じ,字,名词,
妻,つま,妻子,名词,
我々,われわれ,我们,代词,
引っ張ります,ひっぱります,拉，拽,动1,
浮かびます,うかびます,想起，浮，浮现,动1,
整います,ととのいます,齐备，完备,动1,
乾きます,かわきます,干，干燥,动1,
暮らします,くらします,生活,动1,
避けます,さけます,回避，避免,动2,
売れます,うれます,好卖，畅销,动2,
受けます,うけます,感受，受到,动2,
温めます,あたためます,热，温,动2,
理解します,りかいします,理解,动3,
提案します,ていあんします,建议，提案,动3,
試作します,しさくします,试作，试制,动3,
経験します,けいけんします,经验，经历,动3,
暗記します,あんきします,熟记，背诵,动3,
早退します,そうたいします,早退,动3,
休職します,きゅうしょくします,（暂时）停职,动3,
力強い,ちからづよい,强有力；心里踏实,形容词,
柔らかい,やわらかい,柔软,形容词,
硬い,かたい,硬,形容词,
厚い,あつい,厚,形容词,
重要,じゅうよう,重要,形容动词,
単純,たんじゅん,单纯,形容动词,
理想的,りそうてき,理想,形容动词,
具体的,ぐたいてき,具体,形容动词,
斬新,ざんしん,新颖，崭新,形容动词,
ぐっと,ぐっと,更加；用力,副词,
例えば,たとえば,比如，例如,副词,
しかも,しかも,而且,接续词,
そこで,そこで,因此，于是，所以；那么,接续词,
言うまでもなく,いうまでもなく,不言而喻,惯用语,
,,,,
新标初_44,,,,
社員旅行,しゃいんりょこう,全社旅行,名词,
新入社員,しんにゅうしゃいん,新来的职员,名词,
会議場,かいぎじょう,会场,名词,
国際会議,こくさいかいぎ,国际会议,名词,
ビアガーデン,ビアガーデン,庭院式的啤酒店,名词,
大型スーパー,おおがたスーパー,大型超市,名词,
湖,みずうみ,湖,名词,
パトカー,パトカー,警车，巡逻车,名词,
サイレン,サイレン,警笛，警报器,名词,
アニメ,アニメ,动画片,名词,
パワー,パワー,能力，力量,名词,
心,こころ,心,名词,
態度,たいど,态度,名词,
性格,せいかく,性格,名词,
評判,ひょうばん,评价，评论,名词,
行列,ぎょうれつ,行列，队伍,名词,
容器,ようき,容器,名词,
内容,ないよう,内容,名词,
売れ行き,うれゆき,销路，销售（情况）,名词,
乗り物,のりもの,乘坐物,名词,
汗,あせ,汗,名词,
倍,ばい,倍，加倍,名词,
縦,たて,纵，竖,名词,
中国全土,ちゅうごくぜんど,全中国,名词,
長期予報,ちょうきよほう,长期预报,名词,
笑い,わらい,笑,名词,
暑さ,あつさ,暑热，暑气,名词,
美しさ,うつくしさ,美好，美丽程度,名词,
おもしろさ,おもしろさ,趣味，有趣程度,名词,
大きさ,おおきさ,大小,名词,
高さ,たかさ,高度,名词,
深さ,ふかさ,深度,名词,
長さ,ながさ,长度,名词,
広さ,ひろさ,面积,名词,
太さ,ふとさ,粗(度),名词,
重さ,おもさ,重量,名词,
厚さ,あつさ,厚度,名词,
速さ,はやさ,速度,名词,
便利さ,べんりさ,方便程度,名词,
複雑さ,ふくざつさ,复杂程度,名词,
おいしさ,おいしさ,美味，好吃程度,名词,
重要さ,じゅうようさ,重要性，重要程度,名词,
甘さ,あまさ,甜度,名词,
広がります,ひろがります,蔓延，拓宽,动1,
戻ります,もどります,返回，回到,动1,
驚きます,おどろきます,惊讶，吃惊,动1,
しゃれます,しゃれます,别致，风趣；打扮得漂亮,动2,
実感します,じっかんします,切实感受，真切感受,动3,
深い,ふかい,深,形容词,
おとなしい,おとなしい,温顺，老实,形容词,
恥ずかしい,はずかしい,害羞，难为情,形容词,
珍しい,めずらしい,珍奇，新奇,形容词,
豪華,ごうか,豪华，奢华,形容动词,
好調,こうちょう,顺利，情况良好,形容动词,
控えめ,ひかえめ,分量少，节制，控制；拘谨,形容动词,
好評,こうひょう,好评，称赞,形容动词,
大事,だいじ,重要，宝贵,形容动词,
かなり,かなり,颇，相当,副词,
けっこう,けっこう,很，相当,副词,
佐々木,ささき,佐佐木,专有词,
琵琶湖,びわこ,琵琶湖,专有词,
のぞみ,のぞみ,＂希望号＂[新干线的名称],专有词,
おかげさまで,おかげさまで,托您的福,惯用语,
何と言っても,なんといっても,首先是，无论如何,惯用语,
,,,,
新标初_45,,,,
少子化,しょうしか,孩子减少现象,名词,
人口,じんこう,人口,名词,
平均年齢,へいきんねんれい,平均年龄,名词,
交通,こうつう,交通,名词,
便,べん,方便，便利,名词,
アクセス,アクセス,连接，衔接,名词,
リニアモーターカー,リニアモーターカー,磁悬浮列车,名词,
便,びん,航班,名词,
市内,しない,市内,名词,
田舎,いなか,乡下，农村,名词,
中心地,ちゅうしんち,中心地区,名词,
近代化,きんだいか,现代化,名词,
現代人,げんだいじん,现代人,名词,
時間帯,じかんたい,时间段,名词,
調子,ちょうし,情况，状况；势头,名词,
よさ,よさ,长处，好处,名词,
部屋代,へやだい,房租,名词,
森林,しんりん,森林,名词,
地球,ちきゅう,地球,名词,
平均気温,へいきんきおん,平均气温,名词,
地球温暖化,ちきゅうおんだんか,地球变暖现象,名词,
冷凍食品,れいとうしょくひん,冷冻食品,名词,
高齢者,こうれいしゃ,高龄者,名词,
喫煙者,きつえんしゃ,吸烟者,名词,
旅行者,りょこうしゃ,旅行者,名词,
利用者,りようしゃ,利用者,名词,
悩み,なやみ,烦恼,名词,
町並み,まちなみ,市容，街道，街景,名词,
うりあげ,うりあげ,销售额，营业额,名词,
あこがれ,あこがれ,憧憬,名词,
進みます,すすみます,加重，前进,动1,
磨きます,みがきます,刷，擦,动1,
曇ります,くもります,天阴,动1,
似ます,にます,像，相似,动2,
ライトアップします,ライトアップします,景观照明,动3,
普及します,ふきゅうします,普及,动3,
雨宿りします,あまやどりします,避雨,动3,
ひどい,ひどい,残酷，过分；激烈,形容词,
手軽,てがる,简便，简单，轻便,形容动词,
急速,きゅうそく,迅速，快速,形容动词,
以前,いぜん,以前,副词,
どんどん,どんどん,连接不断地，接二连三地,副词,
ますます,ますます,越来越，更加,副词,
なんか,なんか,有点，总觉得，有些，好像,副词,
年々,ねんねん,逐年，每年,副词,
軽い物,かるいもの,清淡的或少量的食物,惯用语,
,,,,
新标初_46,,,,
毛皮,けがわ,毛皮,名词,
本物,ほんもの,真货，真东西,名词,
柄,がら,花纹，花样,名词,
レモン,レモン,柠檬,名词,
みそ汁,みそしる,酱汤,名词,
お祭り,おまつり,祭日，节日,名词,
オートバイ,オートバイ,摩托车,名词,
インタビュー,インタビュー,采访,名词,
プラン,プラン,计划,名词,
頭痛,ずつう,头疼,名词,
寒気,さむけ,寒气，寒战,名词,
吐き気,はきけ,恶心，想要呕吐,名词,
家事,かじ,家务活,名词,
面接,めんせつ,面试,名词,
出来事,できごと,事情，事件,名词,
意見,いけん,意见,名词,
開設,かいせつ,开设,名词,
候補地,こうほち,候选地,名词,
周り,まわり,一带，周围,名词,
明るさ,あかるさ,明朗，快活,名词,
におい,におい,味道，气味,名词,
せっけん,せっけん,肥皂,名词,
香水,こうすい,香水,名词,
ラン,ラン,兰花,名词,
末,すえ,末尾，末了,名词,
初め,はじめ,最初,名词,
半月,はんつき,半月，半个月,名词,
モデル,モデル,模特儿,名词,
警察官,けいさつかん,警察,名词,
お相撲さん,おすもうさん,相扑选手,名词,
歌舞伎役者,かぶきやくしゃ,歌舞伎演员,名词,
水泳選手,すいえいせんしゅ,游泳选手,名词,
済みます,すみます,结束，完了,动1,
積もります,つもります,堆积；积攒,动1,
過ごします,すごします,度过；生活,动1,
ほほえみます,ほほえみます,微笑,动1,
延ばします,のばします,延长,动1,
済ませます,すませます,搞完，办完,动2,
枯れます,かれます,枯萎；干燥,动2,
発送します,はっそうします,发送，寄送,动3,
緊張します,きんちょうします,紧张,动3,
さわやか,さわやか,清爽，爽快,形容动词,
まるで,まるで,好像，就像,副词,
いかにも,いかにも,典型的；实在；的确,副词,
外灘,ワイタン,外滩,专有词,
沖縄,おきなわ,冲绳,专有词,
南京路,ナンキンろ,南京路,专有词,
このごろ,このごろ,最近，近来，最近时期,惯用语,
事務所探し,じむしょさがし,寻找事务所,惯用语,
,,,,
新标初_47,,,,
下見,したみ,视察,名词,
スタッフ,スタッフ,职员，同事,名词,
お子さん,おこさん,您的孩子,名词,
召し上がります,めしあがります,（尊他）吃，喝,动1,
ご覧になります,ごらんになります,（尊他）看，读,动1,
おっしゃいます,おっしゃいます,（尊他）说，讲,动1,
いらっしゃいます,いらっしゃいます,（尊他）去，来，在,动1,
おいでになります,おいでになります,（尊他）去，来，在,动1,
なさいます,なさいます,（尊他）做，干,动1,
くださいます,くださいます,（尊他）给,动1,
チェックインします,チェックインします,办理入住手续,动3,
直行します,ちょっこうします,直接去，直达,动3,
先ほど,さきほど,刚才，方才,副词,
木村,きむら,木村,专有词,
黄,こう,黄,专有词,
北京空港,ペキンくうこう,北京机场,专有词,
ご存じです,ごぞんじです,（尊他）知道,惯用语,
,,,,
新标初_48,,,,
明日,みょうにち,明天,名词,
明日,あす,明天,名词,
昨日,さくじつ,昨天,名词,
この度,このたび,这次，这回,名词,
私,わたくし,我,代词,
私ども,わたくしども,我们,代词,
社,しゃ,公司,名词,
者,もの,人，～的人,名词,
弊社,へいしゃ,敝公司,名词,
新車,しんしゃ,新车,名词,
傷,きず,瑕疵；创伤,名词,
指導,しどう,指教，指导,名词,
おつり,おつり,找的零钱,名词,
応接室,おうせつしつ,会客室,名词,
案内状,あんないじょう,通知，请帖,名词,
入学案内,にゅうがくあんない,入学指南,名词,
伺います,うかがいます,（自谦）去；来；问；拜访；请教,动1,
いたします,いたします,（自谦）做，干,动1,
参ります,まいります,（自谦）来，去,动1,
いただきます,いただきます,（自谦）吃，喝；得到,动1,
おります,おります,在,动1,
ございます,ございます,在，有，是,动1,
差し上げます,さしあげます,（自谦）给,动2,
存じています,ぞんじています,（自谦）知道,动2,
進めます,すすめます,推进，使前进,动2,
拝見します,はいけんします,（自谦）看,动3,
承知します,しょうちします,知道,动3,
期待します,きたいします,希望，期待,动3,
世話します,せわします,帮助；照顾,动3,
貴重,きちょう,贵重,形容动词,
少々,しょうしょう,稍稍，一点儿,副词,
ただ今,ただいま,这会儿，方才；马上，立刻,副词,
突然,とつぜん,突然,副词,
実は,じつは,其实，实际上,副词,
東京料理スクール,とうきょうりょうりスクール,东京厨师学校,专有词,
北京日本語学校,ペキンにほんごがっこう,北京日语学校,专有词,
JC自動車,ジェーシーじどうしゃ,JC汽车公司,专有词,
何のお構いもしませんで,なんのおかまいもしませんで,招待不周,惯用语,
申し訳ございません,もうしわけございません,非常抱歉,惯用语,
,,,,